# LO_Hz=2400000000
# BW_Hz=4000000
# FS_Hz=4000000
# N=256
# S_SYNC=200
# N_UP=4
# N_SYNC=2
# N_DOWN=4
# N_SLOTS=30
# MIN_RUN=3
# BIN_TOL=0
# PSR_MIN=10.0
# RX_GAIN_dB=40
# bin_Hz=15625.0
# sample_us=0.25
t_s,run_up0,run_up1,run_dn0,run_dn1,f_up,f_dn,c_bins,tie,cfo_int_hz,cfo_frac_hz,cfo_hz,eps_up,eps_dn,eps_frac,sto_bins,sto_us,sync_meas,sync_ok
1.414,1,4,7,10,243.000,13.000,0.000,0,0.000,-7.625,-7.625,-0.147621,-0.146645,-0.000488,13.000,3.2500,200.000,1
1.417,1,4,7,10,113.000,143.000,0.000,0,0.000,33.723,33.723,-0.146997,-0.151314,0.002158,143.000,35.7500,199.500,1
1.421,1,4,7,10,252.000,3.000,-0.500,1,0.000,-53.458,-53.458,-0.154973,-0.148130,-0.003421,3.500,0.8750,201.000,1
1.428,2,5,7,10,175.000,81.000,0.000,0,0.000,-304.838,-304.838,-0.149787,-0.110768,-0.019510,81.000,20.2500,200.000,1
1.432,9,12,14,17,185.000,71.000,0.000,0,0.000,-203.450,-203.450,-0.146935,-0.120893,-0.013021,71.000,17.7500,200.000,1
1.439,2,5,8,11,127.000,130.000,0.500,1,0.000,27.586,27.586,-0.147820,-0.151351,0.001765,129.500,32.3750,199.500,1
1.446,1,4,7,10,250.000,5.000,-0.500,1,0.000,-12.320,-12.320,-0.152268,-0.150691,-0.000788,5.500,1.3750,201.000,1
1.454,3,6,9,12,181.000,76.000,0.500,1,15625.000,-36.317,15588.683,-0.153559,-0.148911,-0.002324,75.500,18.8750,200.000,1
1.475,0,3,6,9,50.000,205.000,-0.500,1,0.000,-38.237,-38.237,-0.148260,-0.143365,-0.002447,205.500,51.3750,200.000,1
1.485,0,3,5,8,38.000,217.000,-0.500,1,-15625.000,142.777,-15482.223,-0.134213,-0.152489,0.009138,217.500,54.3750,200.000,1
1.495,5,8,11,14,103.000,154.000,0.500,1,15625.000,-19.963,15605.037,-0.148794,-0.146239,-0.001278,153.500,38.3750,199.000,1
1.502,2,5,9,12,142.000,114.000,0.000,0,0.000,362.556,362.556,-0.102610,-0.149017,0.023204,114.000,28.5000,199.667,1
1.505,1,4,7,10,38.000,218.000,0.000,0,0.000,-22.051,-22.051,-0.148072,-0.145249,-0.001411,218.000,54.5000,200.000,1
1.521,1,4,8,11,222.000,34.000,0.000,0,0.000,47.251,47.251,-0.143968,-0.150016,0.003024,34.000,8.5000,199.667,1
1.525,0,3,6,9,144.000,112.000,0.000,0,0.000,464.276,464.276,-0.108617,-0.168045,0.029714,112.000,28.0000,199.500,1
1.532,0,3,6,9,150.000,106.000,0.000,0,0.000,353.794,353.794,-0.118092,-0.163378,0.022643,106.000,26.5000,199.500,1
1.538,16,19,22,25,84.000,172.000,0.000,0,0.000,-11.647,-11.647,-0.150869,-0.149378,-0.000745,172.000,43.0000,200.000,1
1.545,0,3,6,9,24.000,232.000,0.000,0,0.000,-1.853,-1.853,-0.152681,-0.152444,-0.000119,232.000,58.0000,200.000,1
1.556,2,5,7,10,142.000,114.000,0.000,0,0.000,603.625,603.625,-0.070848,-0.148112,0.038632,114.000,28.5000,200.000,1
1.572,4,7,10,13,90.000,166.000,0.000,0,0.000,-0.742,-0.742,-0.148064,-0.147969,-0.000048,166.000,41.5000,200.000,1
1.576,1,4,17,20,82.000,174.000,0.000,0,0.000,-2.566,-2.566,-0.151011,-0.150682,-0.000164,174.000,43.5000,230.227,0
1.586,2,5,8,11,114.000,142.000,0.000,0,0.000,2.993,2.993,-0.151752,-0.152135,0.000192,142.000,35.5000,200.000,1
1.597,1,4,7,10,4.000,252.000,0.000,0,0.000,-1.966,-1.966,-0.150109,-0.149857,-0.000126,252.000,63.0000,200.000,1
1.622,2,5,8,11,80.000,176.000,0.000,0,0.000,6.586,6.586,-0.149020,-0.149863,0.000422,176.000,44.0000,200.000,1
1.629,0,3,5,8,58.000,198.000,0.000,0,0.000,12.958,12.958,-0.147429,-0.149088,0.000829,198.000,49.5000,200.000,1
1.636,0,3,6,9,154.000,102.000,0.000,0,0.000,27.052,27.052,-0.134584,-0.138047,0.001731,102.000,25.5000,200.000,1
1.643,0,3,6,9,96.000,160.000,0.000,0,0.000,3.723,3.723,-0.149294,-0.149771,0.000238,160.000,40.0000,200.000,1
1.650,0,3,5,8,182.000,74.000,0.000,0,0.000,-119.281,-119.281,-0.148537,-0.133269,-0.007634,74.000,18.5000,200.000,1
1.675,2,5,8,11,208.000,48.000,0.000,0,0.000,-79.164,-79.164,-0.147392,-0.137259,-0.005067,48.000,12.0000,200.000,1
1.686,0,3,5,8,34.000,222.000,0.000,0,0.000,-13.866,-13.866,-0.150518,-0.148744,-0.000887,222.000,55.5000,200.000,1
1.693,2,5,8,11,16.000,240.000,0.000,0,0.000,-52.043,-52.043,-0.153185,-0.146523,-0.003331,240.000,60.0000,200.000,1
